,ulasan,label
0,"Banyak membantu..dalam jual beli, produk berkualitas & harga ringan di kantong, terima kasih shopee",1
1,Ayo teman-teman kita mendownload shopee Karena aplikasi ini membuat aku senang aku senang sekali membuka paket-paket yang sudah datang dengan aku sudah membeli banyak di rumah Assalamualaikum warahmatullahi wabarakatuh,1
2,"App sangggatttt rekomendasiiiiiii, buat belanja semakin keceeee tanpa harus repot dan susah cari barang",1
3,"Shopee memang is the bast, tapi kalu boleh saran untuk SPinjam nya kalau bisa di tambah llimit bulan nya jadi 6 bulan ya admin...",1
4,"Aplikasi belanja mudah segala sesuatu kebutuhan ada, penjual pada ramah dan pelayananya cepat.",1
5,Aku kasih bintang 5 deh.. mudah.mudahan cepet dapet spaylater jadi biar tambah semangat belanja nya,1
6,Baabi emng aplikasi ini. Penipuan. Setiap saya punya uang selalu dihabiskan oleh aplikasi ini karena saya pake buat belanja,1
7,"Ayo donk shopee buat aplikasi car sama bike juga,, skrg sdh maen food ,, saya yakin bisa bersaing sama gojek dan grab,",1
8,"Suka banget ma shopee the best banget deh ,, selain mempermudah belanja oline di shopee juga terpercya reseller nya gak kaya toko sebelah , dan banyak keuntungan lain nya juga harga pun lebih murah2 ,😍😍😍",1
9,"Pengalaman aku slama blanja dishopee slalu puas dgn produk nya apa yg dijual slalu real pick gak kecewa, tpi aku jug hrs liat reting bintang nya ulasan dlm setiap pembelianya jug bnyak nya produk yg dijual.",1
10,Aplikasi ini jelek banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong😚😚,1
11,shoope produk2 nya sangat memuaskan bangeet.tempat belanja online terpercaya nomer 1 di indonesia.,1
12,Semua barang lumayan murah... Bagus bagus lagi dan bisa dijual kembali dikampung halaman saya,1
13,"Thankyou shopee karna sudah mempercayai saya dengan memberi limit paylater juga limit Spijam , semoga limit yang shopee berikan bermanfaat untuk saya, 🥰🥰🥰",1
14,Pling markotop.. Menu yg simpel dan mudah untuk pembeli mencari barang yang akan di order.. Good luck lha buat shopee 👍👍👍,1
15,Ok bagus dan saya sangat suka klu dapat gratis ongkir karena saya sering belanja di shopee.the best lah shopee,1
16,Aplikasi belanja yg paling lengkap dan terpercaya😍😍😍 Shopi paling top. Selalu memberi diskon bahkan geratis ongkir😍😍😍,1
17,"Aku bisa belanja banyak barang dari apk shoope,,and setiap hari ny buanyak bgt voucer"" menarik",1
18,"Berbelanja mudah,cepat langsung di proses dan barang yg di beli sesuai dgn permintaan 👍",1
19,"sepertinya tidak perlu keluar rumah, krn semua kebutuhan tersedia disini. shopee is the Best! ❤",1
20,"Selama belanja disini gg ad masalah apa2 selalu nmuin seller2 yg amaanah Alhamdulillah cm pernah ad pengirim an yg lama 1mnggu ,tapi masih ok lah dn sempat beli HP di shopee pakai gosen Alhamdulillah amaah lancar",1
21,"Belanja mudah, terpecaya, aman, & ngak ribet👍👍👍 Aq berasa nyaman belaja di shopee , bikin Betah belanja dishopee",1
22,Sering nya selalu puas sih belanja disini.. deskripsi nya jelas.. plus review2 nya sebagai bahan pertimbangan..👍👍,1
23,Aplikasi nya keren dan ringan jadi pengen buka terus aplikasi shopee dan permudah buat kita2 belanja online ditambah lagi diskon dan free kirim,1
24,Kenapa saya sulit untuk mengirim pesan terhadap penjual.dari kemarin trus mengirimkan tapi tidak bisa terkirim..,1
